"gene","inheritance"
"ACAD8","AR"
"WNK1","AD"
"CACNA2D4","AR"
"CACNA1C","AD"
"CCND2","AD"
"FGF23","AD"
"C12orf4","AR"
"NDUFA9","AR"
"KCNA1","AD"
"KCNA5","AD"
"VWF","AD"
"TNFRSF1A","AD"
"SCNN1A","AD"
"CD27","AR"
"VAMP1","AD"
"NCAPD2","AR"
"CHD4","AD"
"CD4","AR"
"GNB3","AR"
"TPI1","AR"
"ATN1","AD"
"C12orf57","AR"
"RNU7-1","AR"
"EMG1","AR"
"C1S","AD"
"C1R","AD"
"PEX5","AR"
"GDF3","AD"
"NECAP1","AR"
"AICDA","AR"
"MFAP5","AD"
"A2ML1","AD"
"PHC1","AR"
"","AR"
"CLEC7A","AR"
"ETV6","AD"
"LRP6","AD"
"CDKN1B","AD"
"GRIN2B","AD"
"GUCY2C","AD"
"WBP11","AD"
"MGP","AR"
"PDE6H","AD"
"PTPRO","AR"
"EPS8","AR"
"PLCZ1","AR"
"PDE3A","AD"
"PYROXD1","AR"
"GYS2","AR"
"ABCC9","AD"
"SOX5","AD"
"KRAS","AD"
"BHLHE41","AD"
"","AD"
"ITPR2","AR"
"PTHLH","AD"
"","AR"
"IPO8","AR"
"DDX11","AR"
"FGD4","AR"
"DNM1L","AD"
"YARS2","AR"
"PKP2","AD"
"","AD"
"","AD"
"ALG10B","AD"
"KIF21A","AD"
"LRRK2","AD"
"CNTN1","AR"
"PRICKLE1","AR"
"IRAK4","AR"
"ANO6","AR"
"ARID2","AD"
"","AR"
"VDR","AR"
"COL2A1","AD"
"PFKM","AR"
"ADCY6","AR"
"CCDC65","AR"
"WNT10B","AD"
"WNT1","AR"
"KMT2D","AD"
"DHH","AR"
"TUBA1A","AD"
"PRPH","AD"
"AQP2","AD"
"AQP5","AD"
"SMARCD1","AD"
"GPD1","AR"
"COX14","AR"
"DIP2B","AD"
"SLC11A2","AR"
"SCN8A","AD"
"ACVRL1","AD"
"KRT86","AD"
"KRT81","AD"
"KRT83","AD"
"KRT85","AR"
"KRT6B","AD"
"KRT6C","AD"
"KRT6A","AD"
"KRT5","AD"
"KRT71","AD"
"KRT74","AD"
"KRT2","AD"
"KRT1","AD"
"KRT3","AD"
"KRT4","AD"
"KRT8","AR"
"KRT18","AR"
"AAAS","AR"
"SP7","AR"
"AMHR2","AR"
"HOXC13","AR"
"HNRNPA1","AD"
"NCKAP1L","AR"
"ITGA7","AR"
"RDH5","AD"
"GDF11","AD"
"MMP19","AD"
"SUOX","AR"
"RPS26","AD"
"ERBB3","AD"
"SMARCC2","AD"
"","AD"
"","AD"
"","AD"
"SLC39A5","AD"
"STAT2","AR"
"MIP","AD"
"SDR9C7","AR"
"TAC3","AR"
"LRP1","AR"
"SHMT2","AR"
"STAC3","AR"
"GLI1","AR"
"MARS1","AD"
"KIF5A","AD"
"B4GALNT1","AR"
"CDK4","AD"
"CYP27B1","AR"
"TSFM","AR"
"AVIL","AR"
"DPY19L2","AR"
"RXYLT1","AR"
"SRGAP1","AD"
"TBK1","AD"
"","AD"
"GNS","AR"
"LEMD3","AD"
"MSRB3","AR"
"HMGA2","AD"
"GRIP1","AR"
"IFNG","AD"
"NUP107","AR"
"MDM2","AD"
"LYZ","AD"
"CNOT2","AD"
"BBS10","AR"
"SYT1","AD"
"PPP1R12A","AD"
"OTOGL","AR"
"PTPRQ","AD"
"MYF5","AR"
"ALX1","AR"
"CEP290","AR"
"TMTC3","AR"
"KITLG","AD"
"","AD"
"","AD"
"","AD"
"DUSP6","AD"
"POC1B","AR"
"KERA","AR"
"DCN","AD"
"","AD"
"CRADD","AR"
"CEP83","AR"
"NDUFA12","AR"
"HAL","AD"
"SLC25A3","AR"
"SCYL2","AR"
"SLC17A8","AD"
"NR1H4","AR"
"MYBPC1","AD"
"SYCP3","AD"
"GNPTAB","AR"
"NUP37","AR"
"IGF1","AR"
"PAH","AR"
"","AD"
"CHST11","AR"
"WASHC4","AR"
"POLR3B","AR"
"CRY1","AD"
"ISCU","AR"
"UNG","AR"
"MYO1H","AR"
"UBE3B","AR"
"MMAB","AR"
"MVK","AD"
"TRPV4","AD"
"IFT81","AR"
"ATP2A2","AD"
"TCTN1","AR"
"MYL2","AD"
"CUX2","AD"
"ATXN2","AD"
"ALDH2","AD"
"","AD"
"PTPN11","AD"
"TBX5","AD"
"TBX3","AD"
"MED13L","AD"
"","AD"
"HSPB8","AD"
"CIT","AR"
"COX6A1","AR"
"GATC","AR"
"COQ5","AR"
"ACADS","AR"
"HNF1A","AD"
"ORAI1","AD"
"SETD1B","AD"
"HPD","AD"
"CFAP251","AR"
"DIABLO","AD"
"VPS33A","AR"
"ZCCHC8","AD"
"MTRFR","AR"
"EIF2B1","AR"
"TCTN2","AR"
"ATP6V0A2","AR"
"DNAH10","AR"
"DHX37","AD"
"","AR"
"PUS1","AR"
"P2RX2","AD"
"POLE","AD"
"ANKLE2","AR"
"","AD"
"","AD"
"ZMYM2","AD"
"GJA3","AD"
"GJB2","AD"
"GJB6","AD"
"FGF9","AD"
"SGCG","AR"
"SACS","AR"
"MIPEP","AR"
"CENPJ","AR"
"ATP8A2","AR"
"CDK8","AD"
"","AD"
"RPL21","AD"
"POLR1D","AD"
"PDX1","AD"
"POMP","AD"
"B3GLCT","AR"
"","AD"
"BRCA2","AD"
"KL","AR"
"","AD"
"","AR"
"NBEA","AD"
"MAB21L1","AR"
"SPART","AR"
"RFXAP","AR"
"SMAD9","AD"
"EXOSC8","AR"
"UFM1","AR"
"FREM2","AR"
"COG6","AR"
"SLC25A15","AR"
"TNFSF11","AR"
"LACC1","AR"
"SNORA31","AD"
"HTR2A","AD"
"SUCLA2","AR"
"NUDT15","AD"
"ITM2B","AD"
"RB1","AD"
"LPAR6","AR"
"RCBTB1","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"","AR"
"RNASEH2B","AR"
"ATP7B","AR"
"ALG11","AR"
"THSD1","AD"
"DIAPH3","AD"
"ATXN8","AD"
"","AD"
"ATXN8OS","AD"
"PIBF1","AR"
"","AD"
"CLN5","AR"
"FBXL3","AR"
"EDNRB","AD"
"POU4F1","AD"
"SPRY2","AD"
"SLITRK1","AD"
"SLITRK6","AR"
"","AD"
"","AD"
"GPC6","AR"
"DCT","AR"
"TGDS","AR"
"CLDN10","AR"
"DZIP1","AD"
"DNAJC3","AR"
"","AD"
"","AD"
"","AD"
"ZIC2","AD"
"PCCA","AR"
"NALCN","AD"
"FGF14","AD"
"TPP2","AR"
"ERCC5","AR"
"SLC10A2","AR"
"DAOA","AD"
"","AD"
"LIG4","AR"
"","AD"
"IRS2","AD"
"COL4A1","AD"
"COL4A2","AD"
"NAXD","AR"
"CARS2","AR"
"F7","AR"
"F10","AR"
"CHAMP1","AD"
"","AD"
"","AD"
"","AR"
"","AD"
"TTC5","AR"
"OSGEP","AR"
"PNP","AR"
"RPGRIP1","AR"
"SUPT16H","AD"
"CHD8","AD"
"SALL2","AR"
"TRAC","AR"
"SLC7A7","AR"
"CEBPE","AR"
"PABPN1","AD"
"MYH6","AD"
"MYH7","AD"
"ZFHX2","AD"
"NRL","AD"
"PCK2","AR"
"","AD"
"","AR"
"","AR"
"IRF9","AR"
"TINF2","AD"
"TGM1","AR"
"FOXG1","AD"
"PRKD1","AD"
"COCH","AD"
"AP4S1","AR"
"NUBPL","AR"
"CFL2","AR"
"SRP54","AD"
"PPP2R3C","AD"
"NFKBIA","AD"
"RALGAPA1","AR"
"NKX2-1","AD"
"PAX9","AD"
"SLC25A21","AR"
"SEC23A","AR"
"TRAPPC6B","AR"
"","AD"
"TOGARAM1","AR"
"FANCM","AR"
"RPS29","AD"
"MGAT2","AR"
"DNAAF2","AR"
"NEMF","AR"
"2 SOS","AD"
"L2HGDH","AR"
"","AD"
"","AR"
"ATL1","AD"
"NIN","AR"
"PYGL","AR"
"PTGER2","AR"
"DDHD1","AR"
"BMP4","AD"
"GCH1","AD"
"","AD"
"TMEM260","AR"
"OTX2","AD"
"KIAA0586","AR"
"DACT1","AD"
"C14orf39","AR"
"SIX6","AR"
"SIX1","AD"
"TRMT5","AR"
"SYNE2","AD"
"ESR2","AD"
"MTHFD1","AR"
"SPTB","AD"
"MAX","AD"
"FUT8","AR"
"GPHN","AR"
"PIGH","AR"
"RDH11","AR"
"RDH12","AD"
"ZFYVE26","AR"
"ACTN1","AD"
"SLC10A1","AR"
"SMOC1","AR"
"COX16","AR"
"PSEN1","AD"
"","AD"
"DNAL1","AR"
"COQ6","AR"
"ALDH6A1","AR"
"ABCD4","AR"
"NPC2","AR"
"ISCA2","AR"
"LTBP2","AR"
"DLST","AD"
"EIF2B2","AR"
"MLH3","AD"
"NEK9","AR"
"FLVCR2","AR"
"TTLL5","AR"
"TGFB3","AD"
"IFT43","AR"
"ESRRB","AR"
"IRF2BPL","AD"
"POMT2","AR"
"GSTZ1","AR"
"VIPAS39","AR"
"SPTLC2","AD"
"TSHR","AD"
"","AR"
"","AD"
"GALC","AR"
"ZC3H14","AR"
"TTC8","AR"
"TDP1","AR"
"CALM1","AD"
"GPR68","AR"
"CCDC88C","AD"
"FBLN5","AD"
"TRIP11","AR"
"ATXN3","AD"
"SLC24A4","AR"
"TMEM251","AR"
"UBR7","AR"
"SERPINA6","AD"
"SERPINA1","AR"
"GSC","AR"
"DICER1","AD"
"GLRX5","AR"
"AK7","AR"
"VRK1","AR"
"BCL11B","AD"
"CCNK","AD"
"EML1","AR"
"YY1","AD"
"WARS1","AD"
"DYNC1H1","AD"
"TECPR2","AR"
"AMN","AR"
"MARK3","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"","AR"
"","AD"
"COA8","AR"
"XRCC3","AD"
"TDRD9","AR"
"INF2","AD"
"ADSS1","AR"
"ZBTB42","AR"
"BRF1","AR"
"PACS2","AD"
"IGHM","AR"
"","AR"
"","AD"
"","AD"
"","AD"
"NIPA1","AD"
"MKRN3","AD"
"MAGEL2","AD"
"NDN","AD"
"SNRPN","AD"
"UBE3A","AD"
"GABRB3","AD"
"GABRA5","AD"
"OCA2","AR"
"","AR"
"HERC2","AR"
"NSMCE3","AR"
"","AR"
"FAN1","AR"
"","AD"
"","AR"
"SLC12A6","AR"
"NOP10","AR"
"ACTC1","AD"
"CDIN1","AR"
"MEIS2","AD"
"SPRED1","AD"
"RASGRP1","AR"
"EIF2AK4","AR"
"BUB1B","AD"
"IVD","AR"
"CHST14","AR"
"CCDC32","AR"
"KNL1","AR"
"RAD51","AD"
"DLL4","AD"
"CHP1","AR"
"NDUFAF1","AR"
"MAPKBP1","AR"
"CAPN3","AD"
"CDAN1","AR"
"TTBK2","AD"
"UBR1","AR"
"TGM5","AR"
"","AR"
"","AD"
"","AD"
"TUBGCP4","AR"
"STRC","AR"
"SPG11","AR"
"PATL2","AR"
"B2M","AD"
"SORD","AR"
"DUOX2","AR"
"DUOXA2","AR"
"GATM","AD"
"BLOC1S6","AR"
"SQOR","AR"
"SLC24A5","AR"
"SLC12A1","AR"
"FBN1","AD"
"CEP152","AR"
"HDC","AD"
"TRPM7","AD"
"AP4E1","AD"
"CYP19A1","AD"
"GLDN","AR"
"DMXL2","AD"
"GNB5","AR"
"MYO5A","AR"
"","AD"
"WDR72","AR"
"RAB27A","AR"
"PIGB","AR"
"DNAAF4","AD"
"MNS1","AR"
"TCF12","AD"
"LIPC","AD"
"ADAM10","AD"
"MYO1E","AR"
"RORA","AD"
"VPS13C","AR"
"TPM1","AD"
"CA12","AR"
"HERC1","AR"
"PPIB","AR"
"TRIP4","AR"
"SPG21","AR"
"MTFMT","AR"
"SLC51B","AR"
"KBTBD13","AD"
"CLPX","AD"
"SLC24A1","AR"
"MAP2K1","AD"
"SMAD6","AD"
"SMAD3","AD"
"AAGAB","AD"
"CLN6","AR"
"NR2E3","AD"
"MYO9A","AR"
"HEXA","AR"
"BBS4","AR"
"HCN4","AD"
"REC114","AR"
"LOXL1","AD"
"STRA6","AR"
"EDC3","AR"
"MPI","AR"
"COX5A","AR"
"SIN3A","AD"
"ETFA","AR"
"","AR"
"","AD"
"SCAPER","AR"
"PSTPIP1","AD"
"LINGO1","AR"
"TBC1D2B","AR"
"CIB2","AR"
"IDH3A","AR"
"IREB2","AR"
"CHRNA3","AR"
"MIR184","AD"
"MTHFS","AR"
"FAH","AR"
"ARNT2","AR"
"MESD","AR"
"EFL1","AR"
"RPS17","AD"
"AP3B2","AR"
"HOMER2","AD"
"BNC1","AD"
"WDR73","AR"
"","AD"
"","AD"
"ALPK3","AR"
"SLC28A1","AR"
"AGBL1","AD"
"","AD"
"ACAN","AD"
"RLBP1","AD"
"FANCI","AR"
"POLG","AD"
"KIF7","AR"
"PLIN1","AD"
"MESP2","AR"
"CIB1","AR"
"BLM","AR"
"UNC45A","AR"
"VPS33B","AR"
"CHD2","AD"
"NR2F2","AD"
"","AD"
"IGF1R","AD"
"MEF2A","AD"
"ADAMTS17","AR"
"CERS3","AR"
"LINS1","AR"
"ALDH1A3","AR"
"CHSY1","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"POLR3K","AR"
"NPRL3","AD"
"HBA2","AD"
"HBA1","AD"
"CAPN15","AR"
"PIGQ","AR"
"STUB1","AD"
"CCDC78","AD"
"LMF1","AR"
"CACNA1H","AD"
"GNPTG","AR"
"PERCC1","AR"
"CLCN7","AD"
"TELO2","AR"
"IFT140","AR"
"MAPK8IP3","AD"
"MRPS34","AR"
"IGFALS","AR"
"HAGH","AD"
"MEIOB","AR"
"HS3ST6","AD"
"RPL3L","AR"
"NDUFB10","AR"
"GFER","AR"
"NTHL1","AR"
"TSC2","AD"
"PKD1","AD"
"TRAF7","AD"
"ABCA3","AR"
"TBC1D24","AD"
"CLDN9","AR"
"THOC6","AR"
"MEFV","AD"
"SLX4","AR"
"DNASE1","AD"
"CREBBP","AD"
"PAM16","AR"
"SEPTIN12","AD"
"ROGDI","AR"
"ALG1","AR"
"ABAT","AR"
"PMM2","AR"
"USP7","AD"
"GRIN2A","AD"
"EMP2","AR"
"CIITA","AR"
"SOCS1","AD"
"LITAF","AD"
"ERCC4","AR"
"PARN","AD"
"","AD"
"NDE1","AR"
"MYH11","AD"
"ABCC1","AD"
"ABCC6","AD"
"XYLT1","AR"
"RPS15A","AD"
"ARL6IP1","AR"
"COQ7","AR"
"VPS35L","AR"
"UMOD","AD"
"ZP2","AR"
"","AR"
"CRYM","AD"
"OTOA","AR"
"UQCRC2","AR"
"SCNN1G","AD"
"SCNN1B","AD"
"COG7","AR"
"EARS2","AR"
"PALB2","AD"
"","AD"
"TNRC6A","AD"
"IL4R","AD"
"IL21R","AD"
"KATNIP","AR"
"CLN3","AR"
"TUFM","AR"
"ATP2A1","AR"
"CD19","AR"
"LAT","AR"
"KIF22","AD"
"PRRT2","AD"
"TLCD3B","AR"
"ALDOA","AR"
"TBX6","AD"
"CORO1A","AR"
"MYLPF","AD"
"SRCAP","AD"
"PHKG2","AR"
"SETD1A","AD"
"HSD3B7","AR"
"STX1B","AD"
"VKORC1","AD"
"KAT8","AD"
"FUS","AD"
"COX6A2","AR"
"ARMC5","AD"
"SLC5A2","AD"
"","AD"
"","AD"
"","AD"
"VPS35","AD"
"ORC6","AR"
"GPT2","AR"
"PHKB","AR"
"ABCC11","AD"
"SIAH1","AD"
"ZNF423","AD"
"NOD2","AD"
"CYLD","AD"
"SALL1","AD"
"RPGRIP1L","AR"
"FTO","AR"
"IRX5","AR"
"MMP2","AR"
"CES1","AD"
"","AD"
"GNAO1","AD"
"BBS2","AR"
"NUP93","AR"
"SLC12A3","AR"
"CETP","AD"
"RSPRY1","AR"
"ARL2BP","AR"
"","AD"
"COQ9","AR"
"ADGRG1","AR"
"KATNB1","AR"
"CNGB1","AR"
"USB1","AR"
"CNOT1","AD"
"GOT2","AR"
"CDH11","AR"
"BEAN1","AD"
"TK2","AR"
"","AD"
"","AD"
"HSF4","AD"
"NOL3","AD"
"HSD11B2","AR"
"AGRP","AD"
"CTCF","AD"
"CARMIL2","AR"
"ACD","AD"
"CENPT","AR"
"PSMB10","AR"
"LCAT","AR"
"SLC7A6OS","AR"
"PRMT7","AR"
"CDH3","AR"
"CDH1","AD"
"VPS4A","AD"
"MIR140","AD"
"AARS1","AD"
"FCSK","AR"
"COG4","AD"
"VAC14","AR"
"HYDIN","AR"
"TAT","AR"
"DHODH","AR"
"DHX38","AR"
"PMFBP1","AR"
"RFWD3","AR"
"FA2H","AR"
"LDHD","AR"
"CHST6","AR"
"TMEM231","AR"
"KARS1","AR"
"ADAMTS18","AR"
"WWOX","AR"
"MAF","AD"
"GCSH","AR"
"BCO1","AD"
"GAN","AR"
"PLCG2","AD"
"MLYCD","AR"
"SLC38A8","AR"
"MBTPS1","AR"
"DNAAF1","AR"
"COX4I1","AR"
"IRF8","AD"
"FOXF1","AD"
"FOXC2","AD"
"FBXO31","AR"
"JPH3","AD"
"CA5A","AR"
"ZNF469","AR"
"CYBA","AR"
"MVD","AD"
"CTU2","AR"
"PIEZO1","AD"
"CDT1","AR"
"APRT","AR"
"GALNS","AR"
"TRAPPC2L","AR"
"ANKRD11","AD"
"SPG7","AD"
"RPL13","AD"
"CHMP1A","AR"
"CDK10","AR"
"FANCA","AR"
"MC1R","AR"
"TUBB3","AD"
"GAS8","AR"
"","AD"
"","AD"
"","AD"
"VPS53","AR"
"GEMIN4","AR"
"NXN","AR"
"TIMM22","AR"
"BHLHA9","AR"
"INPP5K","AR"
"PRPF8","AD"
"WDR81","AR"
"SERPINF2","AR"
"SERPINF1","AR"
"DPH1","AR"
"PAFAH1B1","AD"
"","AR"
"ASPA","AR"
"TRPV3","AD"
"SHPK","AR"
"CTNS","AR"
"SPNS2","AR"
"ZMYND15","AR"
"CHRNE","AD"
"GP1BA","AD"
"SLC25A11","AD"
"ENO3","AR"
"KIF1C","AR"
"SLC52A1","AD"
"NUP88","AR"
"C1QBP","AR"
"NLRP1","AD"
"AIPL1","AD"
"PITPNM3","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"KIAA0753","AR"
"SLC13A5","AR"
"DLG4","AD"
"ACADVL","AR"
"EIF5A","AD"
"CHRNB1","AD"
"POLR2A","AD"
"MPDU1","AR"
"TP53","AD"
"WRAP53","AR"
"DNAH2","AR"
"KDM6B","AD"
"CHD3","AD"
"GUCY2D","AD"
"ALOX12B","AR"
"ALOXE3","AR"
"HES7","AR"
"VAMP2","AD"
"TMEM107","AR"
"SNORD118","AR"
"CTC1","AR"
"RPL26","AD"
"PIK3R5","AR"
"NTN1","AD"
"MYH8","AD"
"MYH2","AD"
"MYH3","AD"
"SCO1","AR"
"","AD"
"","AR"
"","AR"
"","AD"
"DNAH9","AR"
"MYOCD","AD"
"ELAC2","AR"
"PMP22","AD"
"TTC19","AR"
"PIGL","AR"
"TNFRSF13B","AD"
"FLCN","AD"
"RAI1","AD"
"SREBF1","AD"
"ATPAF2","AR"
"MYO15A","AR"
"MIEF2","AR"
"TOP3A","AR"
"GRAP","AR"
"B9D1","AR"
"ALDH3A2","AR"
"AKAP10","AD"
"KCNJ18","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"TMEM199","AR"
"SLC46A1","AR"
"FOXN1","AR"
"UNC119","AD"
"PIGS","AR"
"NEK8","AR"
"ERAL1","AR"
"CRYBA1","AD"
"SLC6A4","AD"
"NF1","AD"
"SUZ12","AD"
"TMEM98","AD"
"","AD"
"","AD"
"","AD"
"CCL2","AD"
"CCL11","AD"
"TMEM132E","AR"
"UNC45B","AD"
"SLFN14","AD"
"PEX12","AR"
"GAS2L2","AR"
"ZNHIT3","AR"
"PIGW","AR"
"ACACA","AR"
"HNF1B","AD"
"GPR179","AR"
"PCGF2","AD"
"NEUROD2","AD"
"TCAP","AD"
"PGAP3","AR"
"ERBB2","AR"
"THRA","AD"
"CDC6","AR"
"SMARCE1","AD"
"KRT25","AR"
"KRT10","AD"
"KRT12","AD"
"KRT13","AD"
"KRT9","AD"
"KRT14","AD"
"KRT16","AD"
"KRT17","AD"
"JUP","AD"
"FKBP10","AR"
"KLHL10","AD"
"ODAD4","AR"
"CNP","AR"
"HCRT","AD"
"STAT5B","AD"
"STAT3","AD"
"CAVIN1","AR"
"NAGLU","AD"
"COASY","AR"
"PSMC3IP","AR"
"TUBG1","AD"
"CNTNAP1","AR"
"WNK4","AD"
"COA3","AR"
"","AR"
"","AR"
"G6PC1","AR"
"RPL27","AD"
"BRCA1","AD"
"MEOX1","AR"
"SOST","AD"
"NAGS","AR"
"G6PC3","AR"
"UBTF","AD"
"SLC4A1","AD"
"GRN","AD"
"ITGA2B","AD"
"FZD2","AD"
"EFTUD2","AD"
"CCDC103","AR"
"GFAP","AD"
"PLEKHM1","AD"
"MAPT","AD"
"KANSL1","AD"
"NSF","AD"
"WNT3","AR"
"GOSR2","AR"
"MYL4","AD"
"TBX21","AR"
"PNPO","AR"
"HOXB1","AR"
"","AD"
"","AD"
"PHB","AD"
"SPOP","AD"
"DLX4","AD"
"DLX3","AD"
"ITGA3","AR"
"SGCA","AR"
"COL1A1","AD"
"XYLT2","AR"
"CACNA1G","AD"
"NOG","AD"
"DGKE","AR"
"MRPS23","AR"
"EPX","AR"
"MKS1","AR"
"MPO","AD"
"RNF43","AD"
"TEX14","AR"
"RAD51C","AR"
"TRIM37","AR"
"SMG8","AR"
"","AD"
"CLTC","AD"
"PTRH2","AR"
"","AD"
"PPM1D","AD"
"TBX2","AD"
"TBX4","AD"
"BRIP1","AD"
"MED13","AD"
"TLK2","AD"
"TANC2","AD"
"CYB561","AR"
"ACE","AR"
"TACO1","AR"
"STRADA","AR"
"CCDC47","AR"
"SMARCD2","AR"
"GH1","AD"
"CD79B","AR"
"SCN4A","AD"
"POLG2","AD"
"AXIN2","AD"
"CEP112","AR"
"","AR"
"PSMD12","AD"
"BPTF","AD"
"ARSG","AR"
"PRKAR1A","AD"
"FAM20A","AR"
"","AD"
"","AR"
"","AD"
"","AD"
"ABCA5","AR"
"KCNJ16","AR"
"KCNJ2","AD"
"SOX9","AD"
"","AR"
"COG1","AR"
"DNAI2","AR"
"SLC9A3R1","AD"
"FDXR","AR"
"USH1G","AR"
"NUP85","AR"
"MRPS7","AR"
"SLC25A19","AR"
"TMEM94","AR"
"TSEN54","AR"
"ITGB4","AD"
"GALK1","AR"
"UNC13D","AR"
"WBP2","AR"
"ACOX1","AD"
"FOXJ1","AD"
"QRICH2","AR"
"RHBDF2","AD"
"METTL23","AR"
"","AD"
"SEPTIN9","AD"
"TMC6","AR"
"TMC8","AR"
"DNAH17","AR"
"CANT1","AR"
"CBX2","AR"
"CCDC40","AR"
"GAA","AR"
"EIF4A3","AR"
"CARD14","AD"
"SGSH","AR"
"RNF213","AD"
"NDUFAF8","AR"
"ACTG1","AD"
"PDE6G","AR"
"MRPL12","AR"
"SLC25A10","AR"
"GCGR","AR"
"P4HB","AD"
"ARHGDIA","AR"
"PCYT2","AR"
"PYCR1","AR"
"RAC3","AD"
"DCXR","AR"
"CSNK1D","AD"
"CYBC1","AR"
"WDR45B","AR"
"TBCD","AR"
"","AD"
"","AR"
"","AD"
"","AD"
"","AD"
"SMCHD1","AD"
"","AR"
"","AD"
"","AD"
"TGIF1","AD"
"LAMA1","AR"
"","AD"
"NDUFV2","AR"
"APCDD1","AD"
"PIEZO2","AD"
"","AD"
"GNAL","AD"
"TUBB6","AD"
"AFG3L2","AD"
"PSMG2","AR"
"MC2R","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"GREB1L","AD"
"","AR"
"MIB1","AD"
"GATA6","AD"
"RBBP8","AR"
"NPC1","AR"
"LAMA3","AR"
"TAF4B","AR"
"KCTD1","AD"
"","AD"
"CDH2","AD"
"DSC3","AR"
"DSC2","AD"
"DSG1","AD"
"DSG4","AR"
"DSG3","AR"
"DSG2","AD"
"TTR","AD"
"RNF125","AD"
"ASXL3","AD"
"DTNA","AD"
"MAPRE2","AD"
"ELP2","AR"
"MOCOS","AR"
"FHOD3","AD"
"SETBP1","AD"
"EPG5","AR"
"","AD"
"ATP5F1A","AR"
"LOXHD1","AR"
"IER3IP1","AR"
"DYM","AR"
"MYO5B","AR"
"CFAP53","AR"
"SMAD4","AD"
"DCC","AD"
"TCF4","AD"
"FECH","AR"
"NARS1","AR"
"ATP8B1","AD"
"NEDD4L","AD"
"MALT1","AR"
"RAX","AR"
"LMAN1","AR"
"CCBE1","AR"
"MC4R","AD"
"","AD"
"","AR"
"PIGN","AR"
"TNFRSF11A","AD"
"KDSR","AR"
"SERPINB7","AR"
"","AR"
"SERPINB8","AR"
"RTTN","AR"
"CYB5A","AR"
"TSHZ1","AD"
"CTDP1","AR"
"TXNL4A","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"HCN2","AD"
"ELANE","AD"
"CFD","AR"
"KISS1R","AD"
"ABCA7","AD"
"GPX4","AR"
"STK11","AD"
"ATP5F1D","AR"
"NDUFS7","AR"
"GAMT","AR"
"APC2","AR"
"REEP6","AR"
"TCF3","AD"
"ADAT3","AR"
"AP3D1","AR"
"AMH","AR"
"LMNB2","AD"
"TLE6","AR"
"GNA11","AD"
"GIPC3","AR"
"TBXA2R","AD"
"PIP5K1C","AR"
"RAX2","AD"
"ATCAY","AR"
"EEF2","AD"
"MAP2K2","AD"
"CREB3L3","AD"
"SH3GL1","AD"
"SEMA6B","AD"
"TICAM1","AD"
"KDM4B","AD"
"MICOS13","AR"
"LONP1","AR"
"NDUFA11","AR"
"CLPP","AR"
"TUBB4A","AD"
"CD70","AR"
"C3","AD"
"","AD"
"INSR","AD"
"ARHGEF18","AR"
"MCOLN1","AR"
"PNPLA6","AR"
"PET100","AR"
"RETN","AD"
"RPS28","AD"
"ANGPTL4","AD"
"RAB11B","AD"
"ADAMTS10","AR"
"ZNF699","AR"
"DNMT1","AD"
"S1PR2","AR"
"FDX2","AR"
"TYK2","AR"
"DNM2","AD"
"SMARCA4","AD"
"LDLR","AD"
"KANK2","AR"
"DOCK6","AR"
"EPOR","AD"
"ODAD3","AR"
"PRKCSH","AD"
"ACP5","AR"
"MAN2B1","AR"
"DHPS","AR"
"RNASEH2A","AR"
"MAST1","AD"
"KLF1","AD"
"GCDH","AR"
"FARSA","AR"
"NFIX","AD"
"TRMT1","AR"
"NACC1","AD"
"CACNA1A","AD"
"CC2D1A","AR"
"PRKACA","AD"
"GIPC1","AD"
"TECR","AR"
"ADGRE2","AD"
"CASP14","AR"
"NOTCH3","AD"
"CYP4F22","AR"
"","AD"
"","AD"
"CPAMD8","AR"
"GTPBP3","AR"
"PLVAP","AR"
"COLGALT1","AR"
"FCHO1","AR"
"INSL3","AD"
"JAK3","AR"
"SLC5A5","AR"
"IL12RB1","AR"
"PIK3R2","AD"
"CRLF1","AR"
"COMP","AD"
"CERS1","AR"
"GDF1","AD"
"SLC25A42","AR"
"RFXANK","AR"
"NDUFA13","AR"
"","AD"
"UQCRFS1","AR"
"C19orf12","AD"
"","AD"
"","AD"
"SLC7A9","AD"
"CEBPA","AD"
"PEPD","AR"
"CHST8","AR"
"GPI","AR"
"SCN1B","AD"
"LGI4","AR"
"HAMP","AR"
"MAG","AR"
"COX6B1","AR"
"KMT2B","AD"
"PSENEN","AD"
"NPHS1","AR"
"TYROBP","AR"
"SDHAF1","AR"
"SYNE4","AR"
"WDR62","AR"
"SIPA1L3","AR"
"","AR"
"","AR"
"SPINT2","AR"
"YIF1B","AR"
"RYR1","AD"
"ACTN4","AD"
"SARS2","AR"
"PLEKHG2","AR"
"TIMM50","AR"
"DLL3","AR"
"DYRK1B","AD"
"AKT2","AD"
"PLD3","AD"
"PRX","AD"
"SPTBN4","AR"
"LTBP4","AR"
"COQ8B","AR"
"CYP2A6","AD"
"TGFB1","AD"
"B9D2","AR"
"BCKDHA","AR"
"RPS19","AD"
