"gene","inheritance"
"DRC1","AR"
"OTOF","AR"
"KCNK3","AD"
"DPYSL5","AD"
"AGBL5","AR"
"KHK","AR"
"SLC5A6","AR"
"CAD","AR"
"MPV17","AR"
"EIF2B4","AR"
"ZNF513","AR"
"IFT172","AR"
"PPP1CB","AD"
"XDH","AR"
"SRD5A2","AR"
"","AD"
"SPAST","AD"
"NLRC4","AD"
"LTBP1","AR"
"","AD"
"EIF2AK2","AD"
"CYP1B1","AR"
"","AD"
"GALM","AR"
"1 SOS","AD"
"","AR"
"","AD"
"","AD"
"PKDCC","AR"
"HAAO","AR"
"DYNC2LI1","AR"
"ABCG5","AR"
"ABCG8","AR"
"LRPPRC","AR"
"SLC3A1","AD"
"PREPL","AR"
"SIX3","AD"
"EPAS1","AD"
"PIGF","AR"
"CRIPT","AR"
"TTC7A","AR"
"CALM2","AD"
"EPCAM","AR"
"MSH2","AD"
"MSH6","AD"
"FBXO11","AD"
"PPP1R21","AR"
"LHCGR","AD"
"FSHR","AD"
"NRXN1","AR"
"SPTBN1","AD"
"","AD"
"CCDC88A","AR"
"PNPT1","AR"
"EFEMP1","AD"
"FANCL","AR"
"BCL11A","AD"
"PEX13","AR"
"WDPCP","AR"
"MDH1","AR"
"UGP2","AR"
"SLC1A4","AR"
"ANTXR1","AD"
"GFPT1","AR"
"NFU1","AR"
"ASPRV1","AD"
"TIA1","AD"
"FIGLA","AD"
"ATP6V1B1","AR"
"MCEE","AR"
"DYSF","AR"
"EXOC6B","AR"
"SPR","AD"
"","AD"
"","AD"
"ALMS1","AR"
"TPRKB","AR"
"STAMBP","AR"
"ACTG2","AD"
"DGUOK","AR"
"TET3","AD"
"BOLA3","AR"
"DCTN1","AD"
"MOGS","AR"
"HTRA2","AR"
"M1AP","AR"
"","AD"
"","AD"
"CTNNA2","AR"
"SUCLG1","AR"
"ELMOD3","AD"
"GGCX","AR"
"SFTPB","AR"
"ST3GAL5","AR"
"POLR1A","AD"
"PTCD3","AR"
"REEP1","AD"
"CD8A","AR"
"EIF2AK3","AR"
"RPIA","AR"
"IGKC","AR"
"STARD7","AD"
"TMEM127","AD"
"SNRNP200","AD"
"NCAPH","AR"
"LMAN2L","AR"
"CNNM4","AR"
"ZAP70","AR"
"VWA3B","AR"
"CNGA3","AR"
"COA5","AR"
"TSGA10","AR"
"LIPT1","AR"
"AFF3","AD"
"POU3F3","AD"
"SLC5A7","AD"
"","AR"
"RANBP2","AD"
"EDAR","AD"
"NPHP1","AR"
"ANAPC1","AR"
"MERTK","AR"
"POLR1B","AD"
"CKAP2L","AR"
"IL1B","AD"
"IL37","AR"
"IL36RN","AR"
"IL1RN","AD"
"PAX8","AD"
"EN1","AR"
"STEAP3","AD"
"GLI2","AD"
"RNU4ATAC","AR"
"","AD"
"","AR"
"BIN1","AR"
"ERCC3","AR"
"PROC","AD"
"LIMS2","AR"
"HS6ST1","AD"
"SMPD4","AR"
"CCDC115","AR"
"CFC1","AD"
"TUBA3D","AD"
"","AD"
"RAB3GAP1","AR"
"LCT","AR"
"MCM6","AD"
"DARS1","AR"
"CXCR4","AD"
"HNMT","AD"
